:Data_list: ace_swepam_1m.txt
:Created: 2015 Jan 07 1608 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2015 01 07  1408   57029   50880    0       10.4      421.9     2.68e+04
2015 01 07  1409   57029   50940    0        9.7      419.2     2.81e+04
2015 01 07  1410   57029   51000    0        1.6      401.1     1.03e+04
2015 01 07  1411   57029   51060    1        8.6      422.2     2.23e+04
2015 01 07  1412   57029   51120    1        8.1      420.7     2.17e+04
2015 01 07  1413   57029   51180    0        0.7      399.9     1.30e+04
2015 01 07  1414   57029   51240    0       14.8      436.3     4.84e+04
2015 01 07  1415   57029   51300    0        9.8      421.2     2.19e+04
2015 01 07  1416   57029   51360    0       10.0      423.2     2.22e+04
2015 01 07  1417   57029   51420    0       10.0      423.7     2.20e+04
2015 01 07  1418   57029   51480    0       11.0      425.7     2.66e+04
2015 01 07  1419   57029   51540    0       10.8      424.2     2.33e+04
2015 01 07  1420   57029   51600    0        9.5      422.9     2.12e+04
2015 01 07  1421   57029   51660    0        9.9      423.2     2.22e+04
2015 01 07  1422   57029   51720    0        8.3      418.5     1.92e+04
2015 01 07  1423   57029   51780    0        7.2      414.4     1.59e+04
2015 01 07  1424   57029   51840    0        9.7      418.9     1.86e+04
2015 01 07  1425   57029   51900    0        9.4      422.0     2.08e+04
2015 01 07  1426   57029   51960    0       10.4      420.2     2.02e+04
2015 01 07  1427   57029   52020    0        9.3      421.8     2.14e+04
2015 01 07  1428   57029   52080    0        9.6      420.2     1.86e+04
2015 01 07  1429   57029   52140    0        4.5      413.5     1.58e+04
2015 01 07  1430   57029   52200    0       15.2      429.4     3.10e+04
2015 01 07  1431   57029   52260    0       10.3      424.4     2.56e+04
2015 01 07  1432   57029   52320    0        9.8      421.1     1.94e+04
2015 01 07  1433   57029   52380    0        8.8      422.0     1.99e+04
2015 01 07  1434   57029   52440    0        9.1      420.5     1.89e+04
2015 01 07  1435   57029   52500    0        8.8      420.3     1.99e+04
2015 01 07  1436   57029   52560    0        9.2      419.7     1.94e+04
2015 01 07  1437   57029   52620    0        9.4      421.4     2.19e+04
2015 01 07  1438   57029   52680    0        9.5      421.4     2.33e+04
2015 01 07  1439   57029   52740    0        9.3      418.8     1.98e+04
2015 01 07  1440   57029   52800    0        8.6      418.0     1.66e+04
2015 01 07  1441   57029   52860    0        9.0      418.8     1.62e+04
2015 01 07  1442   57029   52920    0        8.9      422.1     1.98e+04
2015 01 07  1443   57029   52980    0        9.4      418.7     1.79e+04
2015 01 07  1444   57029   53040    0        9.3      420.0     1.78e+04
2015 01 07  1445   57029   53100    0        9.3      420.0     1.78e+04
2015 01 07  1446   57029   53160    0        8.6      420.4     2.02e+04
2015 01 07  1447   57029   53220    0        9.3      419.0     1.81e+04
2015 01 07  1448   57029   53280    0        8.8      419.5     1.96e+04
2015 01 07  1449   57029   53340    0        9.3      418.1     1.80e+04
2015 01 07  1450   57029   53400    0        9.2      417.5     1.92e+04
2015 01 07  1451   57029   53460    0        9.8      418.8     1.98e+04
2015 01 07  1452   57029   53520    0        9.3      421.0     2.10e+04
2015 01 07  1453   57029   53580    0        9.1      421.2     2.14e+04
2015 01 07  1454   57029   53640    0        9.0      420.0     2.04e+04
2015 01 07  1455   57029   53700    0        8.9      419.1     1.90e+04
2015 01 07  1456   57029   53760    0        9.1      419.4     1.88e+04
2015 01 07  1457   57029   53820    0        8.8      420.2     2.07e+04
2015 01 07  1458   57029   53880    0        9.3      419.7     1.94e+04
2015 01 07  1459   57029   53940    0        8.7      421.9     2.09e+04
2015 01 07  1500   57029   54000    0        9.2      420.7     2.02e+04
2015 01 07  1501   57029   54060    0        9.0      421.3     2.18e+04
2015 01 07  1502   57029   54120    0        9.4      421.1     1.90e+04
2015 01 07  1503   57029   54180    0        8.7      423.5     2.23e+04
2015 01 07  1504   57029   54240    0        8.6      420.3     1.96e+04
2015 01 07  1505   57029   54300    0        7.8      420.9     2.11e+04
2015 01 07  1506   57029   54360    0        8.0      420.2     2.03e+04
2015 01 07  1507   57029   54420    0        8.0      420.8     2.22e+04
2015 01 07  1508   57029   54480    0        8.8      419.4     2.00e+04
2015 01 07  1509   57029   54540    0        8.5      419.7     1.94e+04
2015 01 07  1510   57029   54600    0        8.5      420.2     1.95e+04
2015 01 07  1511   57029   54660    0        9.4      419.9     1.89e+04
2015 01 07  1512   57029   54720    0        9.3      419.7     1.95e+04
2015 01 07  1513   57029   54780    0        9.4      418.0     1.89e+04
2015 01 07  1514   57029   54840    0        8.5      419.3     2.20e+04
2015 01 07  1515   57029   54900    0        8.4      421.7     2.17e+04
2015 01 07  1516   57029   54960    0        8.7      425.7     2.36e+04
2015 01 07  1517   57029   55020    9    -9999.9    -9999.9    -1.00e+05
2015 01 07  1518   57029   55080    0        8.3      427.5     2.11e+04
2015 01 07  1519   57029   55140    0        9.0      424.5     2.19e+04
2015 01 07  1520   57029   55200    0        8.9      426.7     2.18e+04
2015 01 07  1521   57029   55260    0        9.2      426.7     2.30e+04
2015 01 07  1522   57029   55320    0        9.2      427.4     2.22e+04
2015 01 07  1523   57029   55380    0        8.8      427.7     2.34e+04
